mkt_name,lat,lon
Adele Center,-0.47,39.61
Alango Arba,-0.1,39.99
Alemsekon,3.53,34.82
Alinjugur,-0.03,40.46
Alungu,3.05,41.06
Amaya,0.77,36.41
Aposta,4.06,34.52
Archers Post,0.64,37.67
Ashabito,3.55,40.87
Bangale,-0.72,39.02
Bangladesh (Mombasa),-4.01,39.63
Banissa,3.94,40.34
Baragoi,1.65,37.03
Baraki,0.65,39.58
Benane,0.5,38.66
Bilbil,-1.01,39.79
Biliqo,0.9,38.48
Boji,0.57,38.34
Boka,-0.34,38.78
Bulesa Bulesa,0.96,38.54
Buna,2.79,39.5
Bura,-1.19,39.84
Bute,3.36,39.42
Charidende,-0.78,39.67
Chemolingot,0.99,35.97
Dadaab town,0.06,40.31
Dagahaley (Daadab),0.19,40.29
Damajale,0.1,40.78
Dambala Fachana,3.51,38.75
Dandora (Nairobi),-1.25,36.9
Dertu,0.28,39.8
Dirib,2.29,38.06
Dub Goba,2.33,38.03
Dzikunze,-3.25,39.75
El Wak,2.81,40.93
Eldas,2.49,39.57
Eldoret town (Uasin Gishu),0.52,35.28
Elelea,2.1,36.16
Eliye Centre,3.24,36.02
Emali,-2.08,37.47
Embu-Mbeere,-0.5797,37.7766
Ethiopia (Kakuma),3.72,34.85
Garbatulla,0.53,38.51
Garissa,-0.46,39.65
Garissa town (Garissa),-0.46,39.64
Garsen,-2.27,40.11
Griftu,2.0,39.75
Habaswein,1.02,39.49
Hadado,1.53,39.43
Hagadera (Daadab),0.01,40.37
Hara (Garissa),-1.85,40.23
Hola (Tana River),1.0,38.0
Hola town,-1.5,40.03
HongKong (Kakuma),3.75,34.84
IFO (Daadab),0.11,40.32
Illbissil Food Market (Kajiado),-2.1,36.79
Iresaboru Centre,0.99,38.88
Isiolo town,0.35,37.58
Jarajara,-0.04,39.01
Junda (Mombasa),-4.01,39.68
Kaakelai,4.52,35.59
Kaanwa (Tharaka Nithi),-0.32,37.72
Kachororoni,-3.48,39.75
Kaembeni,-3.33,39.79
Kaeris,3.98,35.48
Kaikor,4.52,35.42
Kajiado,-1.84,36.79
Kakuma 2,3.75,34.82
Kakuma 3,3.77,34.82
Kakuma 4,3.74,34.81
Kakuma town,3.71,34.86
Kalahari (Mombasa),-4.03,39.63
Kalemgorok,2.14,35.5
Kalemunyang,2.74,35.37
Kaleng,4.37,35.55
Kalobeyei (Village 1),3.77,34.73
Kalobeyei (Village 2),3.76,34.75
Kalobeyei (Village 3),3.75,34.76
Kalobeyei town,3.77,34.62
Kalokol,3.54,35.86
Kang'akipur,2.38,36.04
Kangemi (Nairobi),-1.27,36.74
Karare,2.21,37.89
Karatina (Nyeri),-0.48,37.13
Kargi,2.49,37.56
Kargi South Horr,2.1,36.92
Kasuroi,2.48,35.66
Kataboi,3.75,35.83
Kathonzweni (Makueni),-1.91,37.73
Katilia,2.14,36.14
Kawangware (Nairobi),-1.28,36.74
Kibish,4.57,35.31
Kibra (Nairobi),-1.32,36.78
Kibuye (Kisumu),-0.09,34.77
Kibwezi,-2.41,37.97
Kilifi,-3.63,39.85
Kiliwaheri,3.92,40.01
Kimalel Center,0.47,35.9
Kinna,0.32,38.21
Kipini,-2.53,40.53
Kipsing CENTER,0.6,37.25
Kisima,0.95,36.77
Kisumu,-0.1,34.75
Kisumu Ndogo (Mombasa),-4.04,39.69
Kitengela (Kajiado),-1.29,36.86
Kitui,-1.37,38.02
Kitui town (Kitui),-1.36,38.01
Kiwanja,0.44,37.6
Kokuro,4.62,35.71
Kongowea (Mombasa),-4.06,39.66
Korakora,-0.61,39.78
Koriema,0.46,35.86
Korr,2.01,37.5
Kotile,-1.97,40.21
Kulamawe,0.57,38.2
Kwale,-4.1747,39.4525
Lagbogol,1.29,39.84
Laisamis Town,1.58,37.8
Lamu,-2.27,40.9008
Lengusaka,0.88,37.32
Lesirkan,1.78,36.97
Letea,3.52,35.75
Liboi,0.35,40.87
Loboi Center,0.36,36.06
Lodungokwe,0.87,37.0
Lodwar (Turkana),3.12,35.6
Lodwar town,3.12,35.61
Loglogo,1.99,37.92
Lokangae,4.1,34.9
Lokapel,2.37,35.42
Lokichar (Turkana),2.38,35.65
Lokichoggio,4.2,34.36
Lokipoto,3.18,34.67
Lokiriama,2.76,34.88
Lokitaung,4.27,35.75
Lokori,1.95,36.03
Lokwii,1.98,36.1
Lolkuniyani,1.06,37.23
Lolkunono,1.08,36.6
Lolupe,3.54,35.25
Lomut (West Pokot),1.44,35.57
Loosuk,1.02,36.58
Lopur,3.86,34.82
Lorengipi,2.58,34.99
Lororo Centre,0.44,36.0
Lorugum,2.88,35.25
Lotubae,2.02,36.13
Loturerei,2.93,35.61
Lowarengak,4.28,35.89
Loyangalani,2.76,36.72
Lpus,0.89,37.06
Maalamin,0.38,39.35
Maikona,2.92,37.63
Makere,-1.33,40.01
Makueni,-1.81,37.62
Makutano (West Pokot),1.25,35.08
Malka GALLA,1.27,38.8
Malkadaka,0.84,38.5
Mandera,3.94,41.86
Mandera town,3.94,41.85
Maralal,1.1,36.7
Marigat (Baringo),0.46,35.96
Marigat town (Baringo),0.47,35.98
Marsabit,2.33,37.98
Marsabit town,2.33,37.99
Masalani,-1.7,40.17
Masikita,1.61,36.95
Matanomanne,-3.4,39.78
Mathare (Nairobi),-1.26,36.86
Mathaxgesi,0.16,40.43
Merille Town,1.42,37.72
Merti CENTER,1.07,38.67
Meru,0.0452,37.6606
Minjila,-2.32,40.11
Modogashe,0.73,39.17
Mogadishu (Kakuma),3.72,34.86
Mombasa,-4.05,39.67
Moroto (Mombasa),-4.03,39.66
Morulem,1.98,36.13
Moyale town,3.51,39.05
Mtito Andei,-2.69,38.16
Mukuru (Nairobi),-1.3,36.88
Naakalei,2.54,36.22
Nachola,1.8,36.7
Naduat,3.51,35.19
Nairobi,-1.28,36.82
Nakinomet,4.58,35.4
Nakukulas,2.2,35.81
Nakuru,-0.28,36.07
Namoruputh,2.84,35.04
Nanigi,-0.85,39.87
Napak,4.56,35.39
Ngaremara,0.5,37.64
Ngilai,1.15,37.26
Nginyang,0.95,36.02
Ngurunit,1.74,37.31
North Horr,3.32,37.07
Oldonyiro,0.62,36.99
Ongata Rongai,-1.41,36.83
Porro,1.22,36.6
Rhamu,3.93,41.22
Saka Town,-0.14,39.33
Saretho,-0.03,40.13
Sericho Center,1.13,39.1
Shanta Abak,0.46,39.74
Shauri Yako,-4.04,39.7
Shonda (Mombasa),-4.11,39.65
Simale,2.11,36.78
Sololo,3.56,38.65
Songa,2.25,38.0
Suguta,0.83,36.69
Suq Jini,3.15,41.18
Taita Taveta,-3.3979,38.5561
Takaba (Mandera),3.39,40.23
Tala Centre Market (Machakos),-1.27,37.32
Tarasaa,-2.44,40.17
Tarbaj,2.21,40.12
Tharaka Nithi,-0.3317,37.8685
Todonyang,4.44,35.93
Turkwel Centre,2.92,35.4
Tuum,2.15,36.77
Urum,2.95,34.7
Vanga (Kwale),-4.66,39.22
Wajir town,1.75,40.06
Wakulima (Nairobi),-1.29,36.83
Wakulima (Nakuru),-0.3,36.08
Walda,3.45,38.52
Waldena,-1.61,39.03
Wamba,0.98,37.32
Warankara,3.41,41.01
Wargadud,3.18,40.87
Wayu,-1.53,39.58
Wote town (Makueni),-1.79,37.63
