country_name,iso3,region,national_gdp_2019,n_districts,total_population,trade_cost_scale,median_pi_nn
Angola,AGO,Southern Africa,80734428592,163.0,33299010.712158203,270.80807851955717,0.6152130419231594
Benin,BEN,West Africa,14391686313,78.0,12525154.55859375,103.53330546356605,0.6106313839517227
Botswana,BWA,Southern Africa,16725908148,30.0,2357060.3239868167,147.40027628688753,0.9036556070753959
Burkina Faso,BFA,West Africa,16032813503,45.0,21922670.546875,121.67373491031262,0.9254767310911542
Burundi,BDI,East Africa,2871555326,133.0,11012271.706420898,45.344243963415664,0.786553177366683
Cameroon,CMR,Central Africa,39667757527,58.0,27149926.75,199.52370813352417,0.7626910899992713
Cape Verde,CPV,West Africa,2252177124,,,,
Central African Republic,CAF,Central Africa,2221301351,51.0,5281631.484863281,533.7249701160845,0.7926768627765217
Chad,TCD,Central Africa,14905517742,55.0,15939380.546875,299.9328343509853,0.8365515409460349
Comoros,COM,East Africa,1187915408,,,,
Congo DR,COD,Central Africa,46845900350,240.0,108643326.80196288,1352.6838582765304,0.199591690562426
Congo Republic,COG,Central Africa,13976637779,48.0,3895691.173828125,243.05066760133988,0.7783917982363835
Cote d Ivoire,CIV,West Africa,60382894697,33.0,25813124.984375,128.2789658333116,0.9541159676871376
Djibouti,DJI,East Africa,3088851450,21.0,1116541.0285644531,71.28464470438945,0.9118862922462947
Equatorial Guinea,GNQ,Central Africa,11364133549,32.0,1277639.4073486328,87.53140313994078,0.7930750134109097
Eritrea,ERI,East Africa,0,50.0,4089730.5791015625,153.11403500221058,
Ethiopia,ETH,East Africa,91834517112,79.0,101013341.5390625,325.56123511801684,0.7883078816227344
Gabon,GAB,Central Africa,16874405465,37.0,2901462.4213867188,357.46419451168003,0.8618068219593196
Gambia,GMB,West Africa,1813609692,37.0,2305919.7060546875,41.67837632099228,0.8008126733486683
Ghana,GHA,West Africa,68352629246,260.0,31973963.42578125,116.4414136792503,0.41574132018215326
Guinea,GIN,West Africa,13442861496,34.0,12015038.8125,222.54625272117892,0.8827749317870113
Guinea-Bissau,GNB,West Africa,1596227316,37.0,1819360.890625,76.60078337842893,0.9027780631612196
Kenya,KEN,East Africa,100378436207,300.0,53306317.223124996,119.36177835300023,0.3404456227790491
Lesotho,LSO,Southern Africa,2390702295,,,,
Liberia,LBR,West Africa,3319596500,66.0,4426714.638671875,212.08550204925717,0.7159499471724726
Madagascar,MDG,East Africa,14104664678,,,,
Malawi,MWI,Southern Africa,11051852712,256.0,17880531.27256836,123.33815012108911,0.27544159119003375
Mali,MLI,West Africa,20477421884,50.0,22178338.771484375,314.33213793126396,0.7878734699702692
Mauritius,MUS,East Africa,14645235204,,,,
Mozambique,MOZ,Southern Africa,15512759046,129.0,29871442.0546875,357.7083130498769,0.5447789262915066
Namibia,NAM,Southern Africa,12541928303,107.0,2398406.0737304688,198.19866557692114,0.7295729966955017
Niger,NER,West Africa,12889555561,36.0,22966093.80078125,249.60883484102672,0.8336218540248448
Nigeria,NGA,West Africa,668219992691,775.0,209666769.27734375,188.5258414013609,0.15309642039003327
Rwanda,RWA,East Africa,10349300276,30.0,13023404.09375,41.5879348352659,0.9477972651301603
Sao Tome and Principe,STP,Central Africa,412976082,,,,
Senegal,SEN,West Africa,23403995992,45.0,15910294.40234375,101.50082436598223,0.8489432872807545
Seychelles,SYC,East Africa,1868690096,,,,
Sierra Leone,SLE,West Africa,6523577594,14.0,6692865.234375,92.5644954708457,0.9768535609856726
Somalia,SOM,East Africa,8656000000,74.0,10725825.537109375,450.7749871987866,0.6344000747329599
South Africa,ZAF,Southern Africa,389330032224,52.0,58923044.3359375,187.32024173154912,0.8319060672070495
South Sudan,SSD,East Africa,0,45.0,15493513.921875,665.3926671014094,
Sudan,SDN,East Africa,32338079165,80.0,41509483.4296875,301.39634851377735,0.8166698646705903
Eswatini,SWZ,Southern Africa,4617018958,55.0,1087759.1484375,32.6036675091531,0.9196653700330106
Tanzania,TZA,East Africa,61026731925,186.0,54749799.46054687,334.75306330788294,0.4411917693281547
Togo,TGO,West Africa,6992654019,40.0,8293814.36328125,93.5855664734635,0.8459792467010443
Uganda,UGA,East Africa,35353061003,166.0,40804156.40960938,127.77995473602691,0.5639781840184751
Zambia,ZMB,Southern Africa,23308667781,115.0,17880845.974609375,272.98371256646163,0.6733202993998352
Zimbabwe,ZWE,Southern Africa,33357695635,91.0,14168066.806152344,112.91983111237053,0.7903044198078665
